u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,EV1_me,EV1_fr,EV2_me,EV2_fr,dam_EV1_al_segments,dam_EV1_al,dam_EV2_al_segments,dam_EV2_al,name,junction
42038672,1749457312,0,"[6777602, 6777603, 1041989634, 6777604, 7130370, 1118066824, 6777611, 863568143, 863568144, 328353812, 6777622, 1330617627, 6777628, 359428764, 6776995, 6777636, 343031086, 1164173360, 885887285, 343096130, 6777541, 460735557, 6777543, 6777549, 6777551, 6777556, 58760535, 6777560, 6777565, 6779613, 1426448993, 1426448994, 6777571, 1167626851, 144833641, 6777581, 39438960, 6777585, 898584947, 328352372, 6777592, 7130363, 1330623101, 6777598, 156774911]",False,2,nan,secondary,"['50', '60', '30', '80']","[False, True]",6457.439000000002,"[2082, 2090, 2092, 2094, 2096, 2098, 2100, 2102, 2104, 2105, 2108, 2110, 2133, 2135, 2136, 2138, 2141, 2143, 2145, 2147, 2149, 2151, 2152, 2172, 2195, 2197, 276, 278, 280, 282, 288, 292, 295, 298, 299, 304, 306, 308, 310, 312, 317, 319, 322, 324, 325, 328, 331, 333, 335, 338, 339, 341, 344, 347, 350, 352, 364, 366, 370, 373, 376, 378, 380, 382, 384, 387, 391, 397, 399, 401, 403, 405, 407, 409, 413, 416, 421, 423, 425, 427, 429, 431, 433, 435, 437, 439, 2493, 445, 2495, 447, 2497, 2499, 2501, 2503, 455, 2505, 458, 2507, 2509, 461, 2511, 464, 2513, 2515, 467, 2517, 470, 2519, 472, 2521, 474, 2523, 476, 2525, 478, 2527, 480, 2529, 482, 2531, 2533, 486, 2535, 488, 2537, 491, 2539, 493, 2541, 2543, 496, 2545, 498, 2547, 2549, 2551, 2553, 2563, 2564, 542, 556, 566, 573, 583, 585, 596, 2655, 611, 614, 620, 622, 2671, 2672, 627, 630, 634, 638, 642, 644, 646, 649, 651, 653, 654, 663, 664, 667, 670, 673, 674, 678, 682, 688, 690, 692, 694, 696, 700, 706, 714, 722, 726, 728, 732, 892, 916, 917, 924, 990, 992, 1003, 1086, 1088, 1101, 1104, 1106, 1108, 1144, 1146, 1147, 1149, 1165, 1178, 1180, 1182, 1184, 1186, 1188, 1191, 1193, 1196, 1198, 1202, 1206, 1208, 1210, 1212, 1214, 1216, 1222, 1269, 1271, 1275, 1313, 1315, 1317, 1319, 1321, 1360, 1363, 1365, 1423, 1424, 1427, 1429, 1431, 1433, 1435, 1437, 1439, 1441, 1443, 1445, 1447, 1449, 1451, 1453, 1455, 1457, 1459, 1461, 1463, 1465, 1467, 1469, 1471, 1473, 1475, 1476, 1478, 1480, 1482, 1484, 1486, 1491, 1493, 1495, 1497, 1499, 1576, 1620, 1764, 1766, 1846, 1848, 1850, 1852, 1854, 1855, 1858, 1860, 1862, 1864, 1865, 1867, 1887, 1889, 1891, 1893, 1895, 1897, 1899, 1912, 1914, 1916, 1918, 1920, 1930, 1932, 1934, 1936, 1941, 1957, 1959, 1961, 1979, 1981, 1983, 1985, 1987, 1993, 1995, 1997]",81,55.0,0.117,nan,2.5338645418326693,1.0,3.4924491135915954,1.0,"[nan, nan, 43.0, 56.0, 33.0, 97.0, 85.0, 44.0, nan, 55.0, nan, nan, nan, nan, nan, nan, 48.0, 13.0, 27.0, 5.0, 30.0, 22.0, 18.0, 16.0, 48.0, nan, 33.0, 80.0, 26.0, nan, 38.0, 97.0, 27.0, 54.0, 67.0, nan, 40.0, 48.0, nan, nan, nan, nan, nan, nan, 23.0, 21.0, 16.0, 74.0, 274.0, 316.0, 40.0, 6.0, 24.0, 15.0, 37.0, 56.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 79.0, nan, 39.0, nan, nan, 19.0, 323.0, nan, nan, 26.0, 40.0, 37.0, nan, 36.0, 46.0, nan, nan, 45.0, nan, nan, 3.0, nan, 4.0, 8.0, 3.0, 64.0, nan, 95.0, nan, 34.0, nan, 33.0, nan, nan, 69.0, 15.0, 53.0, nan, 37.0, nan, nan, 95.0, 82.0, nan, nan, nan, nan, nan, nan, nan, 15.0, nan, 69.0, 32.0, 58.0, 178.0, nan, 98.0, 72.0, nan, nan, 70.0, nan, 45.0, 84.0, 44.0, nan, 46.0, 19.0, 11.0, 16.0, nan, 18.0, 23.0, 21.0, 54.0, 11.0, nan, 31.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 223.0, 52.0, nan, nan, nan, 67.0, 12.0, nan, nan, nan, nan, nan, nan, 39.0, 3.0, 58.0, 22.0, nan, nan, nan, nan, 73.0, 14.0, nan, nan, 16.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.0, nan, 159.0, nan, nan, nan, nan, nan, 55.0, 33.0, 32.0, 23.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 113.0, 35.0, 35.0, nan, 42.0, nan, 79.0, 28.0, 31.0, 32.0, 97.0, 71.0, 38.0, 62.0, nan, nan, 13.0, nan, nan, nan, 36.0, 21.0, nan, nan, 15.0, nan, nan, nan, nan, 11.0, 21.0, nan, 5.0, 38.0, 13.0, nan, 33.0, 91.0, nan, nan, nan, nan, nan, nan, nan, 7.0, nan, 61.0, nan, nan, 11.0, 11.0, 8.0]",6312.0,"[nan, nan, 43.0, 56.0, 66.0, 129.0, 85.0, 44.0, 24.0, 55.0, nan, nan, nan, nan, nan, nan, 61.0, 20.0, 27.0, 16.0, 36.0, 25.0, 19.0, 19.0, 61.0, nan, 126.0, 132.0, 41.0, 13.0, 47.0, 178.0, 27.0, 54.0, 71.0, 126.0, 113.0, 60.0, nan, 11.0, 263.0, 13.0, 17.0, 25.0, 116.0, 102.0, 80.0, 272.0, 431.0, 347.0, 59.0, 20.0, 29.0, 19.0, 58.0, 117.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 66.0, 79.0, nan, 39.0, nan, nan, 24.0, 370.0, nan, 198.0, 26.0, 47.0, 47.0, nan, 41.0, 46.0, nan, nan, 46.0, nan, 25.0, 3.0, nan, 6.0, 12.0, 3.0, 85.0, nan, 158.0, nan, 83.0, nan, 50.0, nan, nan, 73.0, 73.0, 61.0, 15.0, 68.0, 13.0, nan, 100.0, 101.0, nan, nan, nan, nan, nan, nan, nan, 15.0, 17.0, 171.0, 124.0, 136.0, 302.0, nan, 167.0, 145.0, nan, nan, 103.0, nan, 78.0, 137.0, 158.0, nan, 46.0, 19.0, 16.0, 18.0, 11.0, 23.0, 23.0, 31.0, 64.0, 16.0, nan, 45.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 389.0, 52.0, nan, nan, 16.0, 80.0, 59.0, nan, nan, nan, nan, nan, nan, 59.0, 4.0, 83.0, 27.0, nan, nan, nan, nan, 156.0, 23.0, nan, nan, 18.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 26.0, 14.0, 159.0, nan, nan, nan, nan, nan, 76.0, 95.0, 162.0, 116.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 204.0, 86.0, 53.0, nan, 57.0, nan, 97.0, 39.0, 59.0, 51.0, 103.0, 71.0, 38.0, 77.0, 29.0, 20.0, 42.0, nan, nan, nan, 49.0, 43.0, nan, nan, 15.0, nan, nan, nan, nan, 33.0, 29.0, 22.0, 25.0, 43.0, 66.0, nan, 33.0, 251.0, nan, nan, 18.0, 139.0, nan, nan, nan, 7.0, nan, 61.0, nan, nan, 18.0, 18.0, 19.0]",11105.0,"['Vliegenstraat', 'Brommelen', 'Slingerberg', 'Pasweg', 'Prinses Ireneweg', 'Hussenbergstraat', 'Hulserstraat', 'Broekhoven', 'Processieweg', 'Oostbroek']",nan
42038672,1470642590,0,205506852,True,nan,nan,secondary,50,False,20.633000000000003,"[960, 961, 267, 270, 271, 1040, 1969, 1970]",76,50.0,0.0,nan,1.2,1.0,4.333333333333333,1.0,"[3.0, nan, 6.0, nan, nan, 4.0, nan, nan]",13.0,"[13.0, nan, 21.0, 12.0, 3.0, 13.0, nan, 10.0]",72.0,nan,roundabout
42041718,859543703,0,"[490065921, 6779751, 6779755, 6777005, 6779757, 6779737, 27195291, 435722621, 435722623]",True,"['2', '3']",A2,motorway,100,False,2085.028,"[259, 273, 284, 285, 2467, 2468, 170, 1706, 172, 301, 187, 959, 196, 1606, 200, 210, 99, 1259, 1262, 1263, 1267, 250, 254]",31,100.0,0.021,yes,3.6785714285714284,1.0,2.977777777777778,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, 6078.0, nan, nan, 13214.0, 14361.0, nan, nan, 21834.0, nan, nan, nan, nan, nan, 57827.0, 29168.0]",142482.0,"[nan, nan, nan, nan, nan, nan, nan, nan, 8357.0, nan, nan, 13214.0, 14361.0, nan, nan, 21834.0, nan, 6506.0, nan, nan, nan, 57827.0, 30145.0]",152244.0,nan,nan
42041718,1470642590,0,"[1333271496, 1333271497, 6777006, 390464799]",True,1,A2,motorway_link,"['50', '100', '80']",False,416.6689999999999,"[2688, 272, 274, 283, 286, 291, 296, 302, 2114, 1731, 2115, 2117, 2116, 2118, 1001, 2674, 1019, 2684, 2685, 2686, 2687]",32,77.0,0.005,nan,1.7222222222222223,1.0,4.351351351351352,1.0,"[nan, 1116.0, 1438.0, nan, nan, nan, nan, nan, 240.0, nan, 129.0, 249.0, 422.0, 129.0, nan, 188.0, nan, nan, nan, nan, nan]",3911.0,"[3542.0, 2297.0, 2109.0, nan, nan, nan, nan, nan, 1198.0, nan, 560.0, 746.0, 1507.0, 643.0, 1649.0, 938.0, nan, nan, nan, nan, nan]",15189.0,nan,nan
42041718,42069836,0,"[390464800, 951700993, 6777640, 6777642, 6777645, 6777677, 205506840, 763192827, 763192828]",True,"['2', '3']",A2,motorway,100,False,3705.3169999999996,"[388, 1029, 2054, 1031, 2055, 393, 1034, 395, 1035, 1037, 1043, 1049, 1050, 411, 1052, 1051, 418, 938, 939, 1588, 441, 443, 449, 451, 453, 973, 462, 975, 976, 465, 977, 2259, 336, 2262, 2263, 2264, 2265, 2266, 345, 2268, 2269, 2270, 2271, 353, 354, 483, 355, 357, 359, 360, 2154, 2155, 2156, 362, 878, 1264, 368, 374, 1784, 1785, 895]",37,100.0,0.037,yes,2.3447761194029852,1.0,2.883695652173913,1.0,"[nan, 2806.0, 16260.0, nan, 5232.0, 1803.0, nan, 3332.0, nan, 3409.0, 5408.0, 4932.0, nan, 73333.0, 10938.0, 10501.0, 16463.0, nan, nan, 103641.0, 12681.0, 15813.0, nan, nan, nan, nan, nan, 15205.0, 23583.0, nan, 7275.0, nan, 49262.0, nan, 2349.0, nan, nan, nan, 1599.0, 3198.0, 2362.0, 4630.0, 16214.0, nan, nan, nan, nan, nan, 4436.0, nan, nan, nan, nan, nan, 8520.0, 19183.0, nan, nan, 14533.0, 17701.0, 32742.0]",509344.0,"[26271.0, 4560.0, 9756.0, nan, 8299.0, 3770.0, nan, 6313.0, nan, 3409.0, 5408.0, 4932.0, nan, 77154.0, 18890.0, 18334.0, 17345.0, nan, nan, 185273.0, 22054.0, 15497.0, nan, nan, nan, nan, nan, 16087.0, 31725.0, nan, 10392.0, nan, 52317.0, nan, 4111.0, 2600.0, nan, nan, 2908.0, 4478.0, 4474.0, 8995.0, 28999.0, nan, nan, nan, nan, nan, 4436.0, nan, nan, nan, nan, nan, 14378.0, 19542.0, nan, nan, 19653.0, 23918.0, 34618.0]",710896.0,nan,nan
42043135,42044633,0,763192826,True,3,A2,motorway,100,False,220.131,313,33,100.0,0.002,nan,,1.0,,1.0,[nan],0.0,[nan],0.0,nan,nan
42043135,42043228,0,"[1037528572, 1094531558]",True,1,A2,motorway_link,100,False,53.398999999999994,"[1904, 314, 315]",34,100.0,0.001,nan,,1.0,,1.0,"[nan, nan, nan]",0.0,"[nan, nan, nan]",0.0,nan,nan
42043917,42044633,0,"[1094531556, 1037528573]",True,1,A2,motorway_link,100,False,51.792,"[320, 1021, 1047]",35,100.0,0.001,nan,,1.0,,1.0,"[nan, nan, nan]",0.0,"[nan, nan, nan]",0.0,nan,nan
42044633,4343161072,0,"[951700992, 329197446, 329197449, 6777644, 6777655, 6777652, 509091284, 763192823, 763192824, 763192825, 198035738, 6777660]",True,"['2', '4', '3']",A2,motorway,100,False,3670.6809999999987,"[896, 385, 2051, 2052, 2053, 389, 392, 394, 1048, 410, 2203, 1053, 414, 417, 419, 936, 937, 1579, 1844, 440, 442, 448, 450, 1730, 452, 456, 329, 459, 972, 974, 1489, 1490, 2258, 2260, 468, 2267, 348, 356, 358, 361, 1132, 1261, 877, 367, 1905, 1906, 1907, 1908, 1909, 1910, 371, 506]",36,100.0,0.037,yes,1.7357142857142858,1.0,1.8365180467091295,1.0,"[nan, nan, 10411.0, nan, 9402.0, nan, nan, nan, nan, nan, nan, nan, nan, 30447.0, 13383.0, nan, nan, nan, nan, 14437.0, 25152.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 10156.0, nan, nan, nan, 19821.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9499.0, 9320.0, nan, nan, nan, nan, nan, 12314.0]",164342.0,"[22634.0, nan, 8850.0, 4373.0, 10074.0, nan, nan, nan, nan, nan, 5737.0, 4042.0, nan, 28605.0, 16060.0, nan, nan, nan, 18509.0, 15845.0, 33474.0, nan, nan, 26898.0, nan, nan, nan, nan, nan, nan, 10721.0, nan, 6303.0, nan, 31944.0, nan, 7821.0, 5946.0, nan, 5242.0, 4393.0, nan, nan, 11223.0, 9974.0, 9320.0, 12781.0, 4409.0, nan, 12322.0, 31946.0, 14737.0]",374183.0,nan,nan
42069836,42072479,0,6777651,True,1,A2,motorway_link,130,False,449.331,"[1152, 533, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 484, 489, 492, 499, 500, 1013, 1014, 505]",42,130.0,0.003,nan,1.0,1.0,1.3055555555555556,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, 1071.0, 566.0, nan, nan, nan, nan, nan, 1431.0, nan, nan, nan, nan]",3068.0,"[nan, nan, nan, nan, nan, 1963.0, nan, 1430.0, 1786.0, 566.0, nan, nan, nan, nan, nan, 2003.0, 499.0, nan, nan, nan]",8247.0,nan,nan
42069836,42074992,0,"[6777640, 6777658, 947375147]",True,2,A2,motorway,100,False,911.05,"[1028, 619, 940, 528, 658, 565, 507]",49,100.0,0.009,yes,1.5797872340425532,1.0,2.0494186046511627,1.0,"[9301.0, 14202.0, 29726.0, 12034.0, 8244.0, nan, 60236.0]",133743.0,"[12863.0, 22547.0, 43798.0, 15629.0, 8244.0, 13287.0, 98624.0]",214992.0,nan,nan
42071903,42071918,0,6777633,False,5,nan,secondary,80,True,11.43,503,40,80.0,0.0,nan,,1.0,,1.0,[nan],0.0,[nan],0.0,Europalaan,nan
42071903,42075122,0,"[1094542816, 332731577]",True,1,A2,motorway_link,130,False,520.915,"[1033, 1168, 1042, 1046, 1054, 550, 552, 2346, 2347, 2348, 2349, 555, 2350, 2351, 2352, 2353, 563, 2354, 2355, 2356, 2357, 2358, 2359, 2360, 2361, 591, 602, 607, 613, 626, 502, 632, 1022]",39,130.0,0.004,nan,2.176470588235294,1.0,2.1615384615384614,1.0,"[918.0, 6820.0, nan, 717.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1871.0, nan, nan, nan, nan, nan, nan, 412.0, nan, nan, nan, 494.0, 504.0, nan, 574.0, nan, 3074.0, nan, nan]",15384.0,"[1442.0, 9155.0, 4283.0, 807.0, 546.0, nan, nan, 515.0, nan, nan, nan, nan, nan, 378.0, 2265.0, 929.0, nan, nan, nan, 565.0, nan, 824.0, nan, 501.0, nan, 593.0, 504.0, nan, 1033.0, 775.0, 3312.0, 5006.0, nan]",33433.0,nan,nan
42071918,42072479,0,"[720129192, 447136707, 1095938421, 720129191]",False,"['5', '4', '3']",nan,secondary,80,True,230.079,"[2049, 1989, 1990, 2324, 534, 2425, 2718]",43,80.0,0.003,nan,1.0,1.0,1.5862068965517242,1.0,"[nan, 82.0, nan, nan, nan, 35.0, nan]",117.0,"[nan, 127.0, nan, nan, nan, 62.0, nan]",189.0,Europalaan,nan
42071918,4343161072,0,"[72369768, 436425506, 436425508, 436425509]",True,"['4', '1', '3']",A2,motorway_link,100,False,437.0609999999999,"[2050, 1038, 1039, 1041, 1169, 2327, 2328, 2329, 2330, 2331, 2332, 2333, 2334, 2335, 544, 2336, 2337, 2338, 2339, 2341, 2340, 935, 2342, 2343, 2344, 551, 2345, 558, 561, 564, 568, 571, 572, 575, 576, 577, 578, 547, 1609, 1611, 1612, 1613, 1020]",109,100.0,0.004,yes,1.125,1.0,1.795774647887324,1.0,"[nan, nan, nan, nan, nan, 647.0, nan, nan, nan, 332.0, 506.0, nan, 329.0, nan, nan, 386.0, 357.0, 406.0, 271.0, 232.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 490.0, nan, 354.0, 311.0, nan, 468.0, 339.0, 491.0, 960.0, nan, nan, nan, 896.0, nan]",7775.0,"[369.0, 985.0, nan, 765.0, 1224.0, 647.0, nan, 912.0, 829.0, 664.0, 1433.0, 736.0, 823.0, 628.0, 901.0, 1004.0, 981.0, 837.0, 271.0, 464.0, 215.0, 761.0, nan, nan, nan, nan, 444.0, 1139.0, nan, 1285.0, nan, 884.0, 311.0, nan, 1047.0, 1016.0, 982.0, 960.0, nan, nan, 3369.0, 1343.0, 388.0]",28617.0,nan,nan
42072479,42074033,0,"[1095938425, 6777563, 1095938422]",False,"['4', '2', '3']",nan,secondary,80,True,280.996,"[1158, 2326, 539, 541, 549, 554, 1082, 570, 1084, 581, 590, 600, 1629, 1631, 1633, 2160, 2162, 2035, 2164, 2037, 2166, 2039, 2041, 2043, 2045, 2047]",46,80.0,0.004,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,Europalaan,nan
42072479,42074992,0,"[6777688, 436425507, 436425510, 1094542815]",True,"['2', '1', '3']",A2,motorway_link,100,False,483.973,"[608, 1729, 579, 584, 1614, 1615, 562, 659, 2322, 1170, 598, 633, 2363, 2364, 2365]",50,100.0,0.005,nan,1.0,1.0,1.0294117647058822,1.0,"[nan, nan, nan, nan, 1837.0, nan, nan, 4208.0, nan, nan, nan, nan, nan, nan, nan]",6045.0,"[nan, nan, nan, 931.0, 1979.0, nan, nan, 4208.0, nan, nan, 2815.0, nan, nan, nan, nan]",9933.0,nan,nan
42074033,42082276,0,"[6772935, 504506832, 6777554, 6773045, 6777558, 720127925, 164725497, 6773022]",False,"['2', '3']",nan,secondary,"['50', '80']",True,2076.829999999999,"[1056, 1058, 1064, 1072, 1074, 1076, 1078, 1080, 610, 618, 1645, 625, 1154, 1163, 2702, 1167, 2704, 657, 2706, 2708, 2710, 2712, 2714, 2716, 2724, 680, 1714, 1717, 708, 710, 2247, 712, 1225, 716, 720, 724, 1239, 730, 734, 738, 742, 744, 746, 753, 758, 762, 770, 779, 792, 799, 803, 812, 816, 818, 824, 826, 832, 838, 842, 1870, 1922, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017, 995, 2019, 2021, 2023, 2025, 2027, 2029, 2031, 2033]",54,65.0,0.032,nan,3.284569138276553,1.0,4.010159651669086,1.0,"[nan, 43.0, 88.0, 39.0, 42.0, nan, nan, 29.0, nan, nan, nan, nan, nan, nan, 41.0, nan, nan, nan, 12.0, 43.0, 315.0, 44.0, 64.0, 95.0, 101.0, nan, 44.0, 15.0, nan, nan, 34.0, nan, nan, nan, nan, nan, 53.0, nan, nan, 182.0, nan, 85.0, 143.0, 161.0, 118.0, nan, nan, 14.0, 79.0, 62.0, 388.0, 75.0, 143.0, 187.0, 53.0, 131.0, nan, 85.0, 35.0, 46.0, 318.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 152.0, 181.0, nan, nan, nan, nan, nan, 19.0, nan]",3759.0,"[nan, 209.0, 113.0, 79.0, 42.0, nan, nan, 141.0, nan, nan, nan, nan, nan, nan, 93.0, nan, 148.0, 160.0, 58.0, 162.0, 423.0, 46.0, 64.0, 113.0, 120.0, nan, 61.0, 22.0, nan, nan, 43.0, nan, nan, nan, nan, 28.0, 58.0, nan, nan, 148.0, 29.0, 141.0, 143.0, 208.0, 119.0, nan, 165.0, 68.0, 84.0, 62.0, 501.0, 104.0, 174.0, 248.0, 69.0, 178.0, nan, 70.0, 35.0, 120.0, 407.0, nan, nan, 17.0, 34.0, nan, nan, nan, 13.0, nan, nan, 152.0, 179.0, 22.0, 12.0, nan, nan, nan, 36.0, nan]",5721.0,"['Maastrichterlaan', 'Hoogkuil']",nan
42074033,1755091299,0,"[6777601, 938735506, 1239932983]",False,nan,nan,secondary,"['50', '60', '80']",False,833.6990000000001,"[512, 514, 1155, 519, 1160, 524, 526, 529, 531, 536, 545, 1189, 2600, 2602, 2604, 2606, 559, 1199, 2608, 2610, 1203, 2612, 2614, 2616, 2618, 2620, 2622, 2624, 1217, 2626, 1219, 2628, 1223, 587, 592, 594, 1624, 1626, 603, 605, 1634, 1636, 1638, 1640, 1642, 508, 510]",82,63.0,0.013,nan,1.6962025316455696,1.0,1.9578947368421054,1.0,"[17.0, nan, 51.0, 47.0, nan, nan, nan, nan, 19.0, nan, 68.0, 21.0, nan, nan, nan, nan, 121.0, nan, nan, nan, 22.0, 39.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 28.0, nan, nan, 81.0, 28.0, nan, nan, 92.0, 37.0, 27.0, 35.0, nan, nan, 27.0]",760.0,"[17.0, nan, 55.0, 44.0, nan, nan, nan, nan, 26.0, 16.0, 107.0, 32.0, nan, nan, nan, nan, 139.0, nan, nan, nan, 22.0, 43.0, 31.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 38.0, nan, nan, 99.0, 36.0, nan, nan, 110.0, 37.0, 27.0, 35.0, nan, nan, 30.0]",944.0,Cruisboomveld,nan
42074695,2066650883,0,"[6772928, 347330697, 6772929, 347330700]",False,nan,nan,secondary,"['50', '80']",True,988.003,"[641, 772, 637, 2567, 777, 2569, 2571, 781, 2573, 2575, 2577, 2579, 1300, 2581, 661, 2583, 2585, 2587, 2589, 669, 2591, 2593, 2595, 2597, 2599, 684, 686, 2486, 1719, 2488, 2490, 698, 702, 704, 1228, 718, 1617, 1110, 1241, 1244, 1246, 736, 2657, 2659, 740, 2661, 1254, 1253, 750, 756, 760, 764, 765, 767]",88,65.0,0.015,nan,1.7647058823529411,1.0,2.2536585365853656,1.0,"[nan, 42.0, nan, nan, 15.0, nan, nan, nan, nan, 29.0, 18.0, 27.0, nan, nan, nan, nan, nan, nan, nan, 15.0, nan, nan, nan, nan, nan, 37.0, nan, nan, nan, 68.0, 200.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 105.0, 6.0, nan, nan, 51.0, nan, nan, nan, nan, 40.0, 91.0, 11.0]",755.0,"[nan, 79.0, nan, nan, 13.0, nan, nan, 115.0, nan, 55.0, 27.0, 52.0, nan, 18.0, nan, 15.0, nan, nan, nan, 15.0, nan, nan, nan, nan, nan, 74.0, nan, 14.0, nan, 100.0, 240.0, nan, nan, nan, 33.0, nan, nan, nan, nan, nan, 14.0, nan, 116.0, 13.0, nan, 7.0, 68.0, nan, nan, nan, nan, 22.0, 120.0, 20.0]",1230.0,Adsteeg,nan
42074992,42078554,0,"[6777681, 6777683, 1094542812]",True,3,A2,motorway,100,False,636.261,"[2408, 745, 774, 751]",52,100.0,0.006,yes,1.0,1.0,1.0,1.0,"[nan, 44458.0, nan, nan]",44458.0,"[nan, 44458.0, nan, nan]",44458.0,nan,nan
42075122,42084346,0,"[6773088, 163556623, 6777680, 6777682, 163556989, 1094542814]",True,"['2', '3']",A2,motorway,100,False,1596.1529999999998,"[773, 1171, 1174, 797, 676, 807, 942, 943, 944, 945, 1974, 1975, 1977, 835, 1227, 852, 2409, 748, 754]",51,100.0,0.016,yes,1.0,1.0,1.06,1.0,"[nan, nan, nan, nan, nan, nan, 12270.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1308.0, 5688.0, nan]",19266.0,"[nan, nan, nan, nan, 43275.0, nan, 12270.0, nan, 12158.0, nan, nan, nan, nan, nan, nan, 8156.0, 1308.0, 7111.0, nan]",84278.0,nan,nan
42075122,4343161072,0,"[947375148, 509091285]",True,2,A2,motorway,100,False,469.54,"[1024, 616, 1610, 522, 2410, 941, 1036, 2362]",110,100.0,0.005,yes,,1.0,1.0,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, 9437.0, nan, 6413.0]",15850.0,nan,nan
42078554,364718988,0,"[163556624, 1094543643, 163556988]",True,2,A2,motorway,100,False,447.56899999999996,"[800, 782, 1172, 949, 886, 1175, 1976]",60,100.0,0.004,yes,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,nan,nan
42078554,3730310133,0,"[1094542813, 1037610686]",True,1,A2,motorway_link,130,False,98.477,"[1728, 1580, 775]",108,130.0,0.001,nan,,1.0,,1.0,"[nan, nan, nan]",0.0,"[nan, nan, nan]",0.0,nan,nan
42080187,364718988,0,"[781521675, 163556627, 6777670]",True,1,A2,motorway_link,100,False,106.888,"[808, 885, 1173, 887, 1176]",59,100.0,0.001,yes,,1.0,,1.0,"[nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan]",0.0,nan,nan
42082276,1694982268,0,"[6773008, 509398743]",False,4,nan,secondary,50,True,68.97999999999999,"[2377, 2379, 2381, 1069, 2383, 1135, 2681]",79,50.0,0.001,nan,1.0,1.0,2.5625,1.0,"[nan, nan, nan, nan, nan, nan, 41.0]",41.0,"[11.0, 18.0, 5.0, 9.0, 21.0, 40.0, 144.0]",248.0,Wolfeynde,nan
42082276,2066650880,0,"[6772999, 463662860, 1012211279, 6773048, 196323453]",False,3,nan,secondary,50,False,492.98699999999997,"[1923, 2692, 1925, 1927, 795, 2076, 801, 2213, 805, 2215, 809, 813, 820, 821, 827, 830, 1726, 833, 839, 1622, 2652, 1249, 1256]",86,50.0,0.01,nan,4.613924050632911,1.0,4.9156626506024095,1.0,"[29.0, 155.0, 58.0, 17.0, 95.0, 56.0, 74.0, 154.0, 44.0, 74.0, 178.0, 358.0, 60.0, 194.0, 207.0, 145.0, 99.0, 169.0, 96.0, 190.0, 80.0, 11.0, 136.0]",2679.0,"[29.0, 155.0, 58.0, 75.0, 218.0, 56.0, 74.0, 154.0, 44.0, 74.0, 178.0, 358.0, 60.0, 194.0, 207.0, 145.0, 99.0, 172.0, 107.0, 213.0, 80.0, 51.0, 136.0]",2937.0,"['Brugstraat', 'Raadhuisstraat']",nan
298438528,9646055863,0,1095936809,True,1,nan,secondary,50,False,33.428,"[2436, 2435, 876]",57,50.0,0.001,nan,1.0,1.0,3.0,1.0,"[nan, 16.0, nan]",16.0,"[31.0, 54.0, 24.0]",109.0,Maastrichterweg,nan
