osmid,lanes,name,infra_type,oneway,reversed,length,rfid_c,rfid,avgspeed,time,ref,maxspeed,access,F_EV1_mi,F_EV1_ma,F_EV1_me,F_EV1_fr,road_type,lanes_copy,dam_EV1_al
351754106,2.0,2nd Avenue North,residential,False,True,106.065,148,123,47.0,0.002,None,None,None,0.4399999976158142,0.9399999976158142,0.6573333104451498,1.0,other,2.0,12032.0
10886116,2.0,11th Street North,residential,False,False,97.986,149,125,47.0,0.002,None,None,None,0.07000000029802322,0.4699999988079071,0.23888889948527017,0.7574154818024457,other,2.0,3291.0
10886116,2.0,11th Street North,residential,False,True,82.891,150,126,47.0,0.002,None,None,None,0.23000000417232513,0.5299999713897705,0.36545454372059216,1.0,other,2.0,5622.0
351754106,2.0,2nd Avenue North,residential,False,False,288.609,151,127,47.0,0.006,None,None,None,0.4699999988079071,0.9200000166893005,0.6735293444465188,1.0,other,2.0,33354.0
351754106,2.0,2nd Avenue North,residential,False,True,13.289,152,128,47.0,0.0,None,None,None,0.4699999988079071,0.5600000023841858,0.5199999809265137,1.0,other,2.0,1268.0
10875608,2.0,Palm Tree Road,residential,False,False,25.547,153,130,47.0,0.001,None,None,None,0.8799999952316284,1.1799999475479126,1.027500033378601,1.0,other,2.0,4148.0
351754106,2.0,2nd Avenue North,residential,False,False,71.941,154,131,47.0,0.002,None,None,None,0.8600000143051147,0.9200000166893005,0.8966666327582465,1.0,other,2.0,10420.0
351754106,2.0,2nd Avenue North,residential,False,True,288.609,155,129,47.0,0.006,None,None,None,0.4699999988079071,0.9200000166893005,0.6735293444465188,1.0,other,2.0,33354.0
351754106,2.0,2nd Avenue North,residential,False,False,11.379,156,131,47.0,0.0,None,None,None,0.5799999833106995,0.75,0.6649999618530273,1.0,other,2.0,1302.0
351754106,2.0,2nd Avenue North,residential,False,True,66.726,157,134,47.0,0.001,None,None,None,0.5799999833106995,0.7699999809265137,0.7133333418104384,1.0,other,2.0,8060.0
10875418,2.0,15th Street North,residential,False,False,78.749,158,132,47.0,0.002,None,None,None,,,,0.0,other,2.0,
