u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,maxspeed,ref,access,junction
99030711,99030717,0,432720281,residential,2,Flamingo Drive,False,True,37.979923605262364,"[3624, 57, 3637, 478]",27,43.0,0.001,nan,,0.0,0.18428570883614676,1.0,0.07000000029802322,0.02059894218872159,"[np.float64(137.0), np.float64(195.0), np.float64(186.0), np.float64(126.0)]",644.0,"[np.float64(nan), np.float64(5.0), np.float64(nan), np.float64(nan)]",5.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99030711,99094784,0,432720281,residential,2,Flamingo Drive,False,False,139.63667071628444,"[7172, 3607, 3621, 3625, 3627, 3599, 3634, 471, 473, 475, 3646]",351,43.0,0.003,nan,,0.0,0.1850000023841858,0.4774410590885162,0.14000000059604645,0.09598401707545212,"[np.float64(157.0), np.float64(4.0), np.float64(nan), np.float64(273.0), np.float64(256.0), np.float64(22.0), np.float64(99.0), np.float64(100.0), np.float64(115.0), np.float64(nan), np.float64(106.0)]",1132.0,"[np.float64(18.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(108.0), np.float64(8.0), np.float64(nan), np.float64(46.0), np.float64(nan), np.float64(nan), np.float64(nan)]",180.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99030717,2633936562,0,11111765,residential,nan,nan,True,False,30.417742520140873,"[4576, 3650, 2467, 56, 3612]",26,43.0,0.001,nan,,0.0,0.3220000028610229,1.0,0.13399999141693114,1.0,"[np.float64(168.0), np.float64(191.0), np.float64(362.0), np.float64(151.0), np.float64(83.0)]",955.0,"[np.float64(71.0), np.float64(81.0), np.float64(163.0), np.float64(54.0), np.float64(35.0)]",404.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99030717,2636288196,0,1194205709,residential,2,Flamingo Drive,False,True,439.7876857587982,"[4998, 7175, 5000, 3602, 3606, 3618, 3630, 3639, 2622, 2627, 2633, 2639, 2641, 480, 482, 484, 486, 488, 490, 492, 494, 496]",1349,43.0,0.01,nan,0.10000000149011612,0.012563808566626257,0.40036364468661223,1.0,0.26119048254830496,0.8543205899329958,"[np.float64(199.0), np.float64(365.0), np.float64(562.0), np.float64(217.0), np.float64(447.0), np.float64(552.0), np.float64(529.0), np.float64(474.0), np.float64(591.0), np.float64(480.0), np.float64(1009.0), np.float64(1085.0), np.float64(398.0), np.float64(501.0), np.float64(427.0), np.float64(758.0), np.float64(929.0), np.float64(486.0), np.float64(3391.0), np.float64(854.0), np.float64(2436.0), np.float64(238.0)]",16928.0,"[np.float64(44.0), np.float64(96.0), np.float64(220.0), np.float64(67.0), np.float64(229.0), np.float64(454.0), np.float64(405.0), np.float64(281.0), np.float64(475.0), np.float64(269.0), np.float64(293.0), np.float64(314.0), np.float64(nan), np.float64(122.0), np.float64(303.0), np.float64(497.0), np.float64(744.0), np.float64(350.0), np.float64(2380.0), np.float64(468.0), np.float64(1204.0), np.float64(82.0)]",9297.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(4.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(49.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",53.0,nan,nan,nan,nan
99030719,2633936563,0,653236015,secondary,4,Pine Tree Drive,False,False,142.66132772885217,"[4393, 7851, 4391, 2471]",1335,48.0,0.003,nan,,0.0,0.4864705590640797,1.0,0.2947058958165786,1.0,"[np.float64(21238.0), np.float64(1234.0), np.float64(4657.0), np.float64(5228.0)]",32357.0,"[np.float64(12320.0), np.float64(583.0), np.float64(3134.0), np.float64(3607.0)]",19644.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,30 mph,nan,nan,nan
99030719,2633936562,0,1194205708,secondary,4,Pine Tree Drive,False,True,10.271661899512203,"[7856, 2469]",1333,48.0,0.0,nan,,0.0,0.3500000238418579,1.0,0.16499999165534973,1.0,"[np.float64(946.0), np.float64(758.0)]",1704.0,"[np.float64(446.0), np.float64(357.0)]",803.0,"[np.float64(nan), np.float64(nan)]",0.0,30 mph,nan,nan,nan
99030719,99409248,0,"[1240904676, 11169973]",residential,2,West 28th Street,False,True,114.44346307503181,"[7850, 3540, 1765, 7854]",1164,43.0,0.003,nan,,0.0,0.5381249785423279,1.0,0.4007142611912319,0.8986560192291192,"[np.float64(578.0), np.float64(3356.0), np.float64(893.0), np.float64(694.0)]",5521.0,"[np.float64(312.0), np.float64(2707.0), np.float64(727.0), np.float64(259.0)]",4005.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99041848,99236207,0,11158095,residential,nan,Bay Road,False,True,95.24332193315982,"[8333, 6960, 4593, 1143, 6970]",783,43.0,0.002,nan,0.175,0.8920704590278182,0.9290908466685902,1.0,0.7045454545454546,1.0,"[np.float64(3497.0), np.float64(869.0), np.float64(444.0), np.float64(488.0), np.float64(1875.0)]",7173.0,"[np.float64(2847.0), np.float64(685.0), np.float64(347.0), np.float64(398.0), np.float64(1534.0)]",5811.0,"[np.float64(770.0), np.float64(40.0), np.float64(4.0), np.float64(130.0), np.float64(481.0)]",1425.0,nan,nan,nan,nan
99041848,99355559,0,11158095,residential,nan,Bay Road,False,False,83.65208160009513,"[6955, 1579]",1056,43.0,0.002,nan,0.09000000026490954,1.0,0.8566667238871256,1.0,0.6333333651224772,1.0,"[np.float64(774.0), np.float64(5149.0)]",5923.0,"[np.float64(612.0), np.float64(4118.0)]",4730.0,"[np.float64(65.0), np.float64(660.0)]",725.0,nan,nan,nan,nan
99041848,99201114,0,83069602,residential,nan,15th Street,False,False,119.17250221924476,"[6947, 1019, 6957]",690,43.0,0.003,nan,0.13333333333333333,1.0,0.9013333638509115,1.0,0.6786666870117187,1.0,"[np.float64(7537.0), np.float64(784.0), np.float64(482.0)]",8803.0,"[np.float64(6095.0), np.float64(628.0), np.float64(383.0)]",7106.0,"[np.float64(1400.0), np.float64(96.0), np.float64(67.0)]",1563.0,nan,nan,nan,nan
