o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
13426689553,4063782840,O_150,D_7,12300.0,0,special,EV1_ma,,
13426689554,4063782840,O_151,D_7,11991.0,0,special,EV1_ma,,
13426689555,4063782840,O_152,D_7,11656.0,0,special,EV1_ma,,
13426689556,4063782840,O_154,D_7,11283.0,0,special,EV1_ma,,
13426689557,4063782840,"O_157,O_213",D_7,11145.0,0,special,EV1_ma,,
13426689564,4063782840,O_171,D_7,13404.0,0,special,EV1_ma,,
13426689565,4063782840,O_172,D_7,13386.0,0,special,EV1_ma,,
13426689566,4063782840,O_173,D_7,12749.0,0,special,EV1_ma,,
13426689567,4063782840,O_174,D_7,12609.0,0,special,EV1_ma,,
13426689568,4063782840,O_175,D_7,12189.0,0,special,EV1_ma,,
13426689569,4063782840,O_176,D_7,11961.0,0,special,EV1_ma,,
13426689570,4063782840,O_177,D_7,11761.0,0,special,EV1_ma,,
13426689571,4063782840,O_179,D_7,11123.0,0,special,EV1_ma,,
13426689572,4063782840,O_180,D_7,11137.0,0,special,EV1_ma,,
13426689573,4063782840,O_181,D_7,10888.0,0,special,EV1_ma,,
13426689574,4063782840,O_182,D_7,11037.0,0,special,EV1_ma,,
13426689581,4063782840,O_199,D_7,13814.0,0,special,EV1_ma,,
13426689582,4063782840,O_200,D_7,13642.0,0,special,EV1_ma,,
13426689584,4063782840,O_202,D_7,13042.0,0,special,EV1_ma,,
13426689585,4063782840,O_203,D_7,12996.0,0,special,EV1_ma,,
13426689586,4063782840,O_204,D_7,12436.0,0,special,EV1_ma,,
13426689587,4063782840,O_205,D_7,12174.0,0,special,EV1_ma,,
13426689588,4063782840,O_207,D_7,11869.0,0,special,EV1_ma,,
13426689589,4063782840,"O_208,O_239",D_7,10286.0,0,special,EV1_ma,,
13426689590,4063782840,"O_209,O_240",D_7,10465.0,0,special,EV1_ma,,
13426689591,4063782840,O_210,D_7,10628.0,0,special,EV1_ma,,
13426689592,4063782840,O_212,D_7,10952.0,0,special,EV1_ma,,
13426689598,4063782840,O_229,D_7,13897.0,0,special,EV1_ma,,
13426689600,4063782840,O_231,D_7,13222.0,0,special,EV1_ma,,
13426689601,4063782840,O_232,D_7,13162.0,0,special,EV1_ma,,
13426689602,4063782840,O_233,D_7,12718.0,0,special,EV1_ma,,
13426689603,4063782840,O_234,D_7,12497.0,0,special,EV1_ma,,
13426689604,4063782840,"O_237,O_269,O_303",D_7,10051.0,0,special,EV1_ma,,
13426689605,4063782840,"O_238,O_270",D_7,10174.0,0,special,EV1_ma,,
13426689606,4063782840,O_241,D_7,10661.0,0,special,EV1_ma,,
13426689617,4063782840,O_261,D_7,13513.0,0,special,EV1_ma,,
13426689618,4063782840,O_262,D_7,13337.0,0,special,EV1_ma,,
13426689620,4063782840,"O_268,O_302,O_339",D_7,9902.0,0,special,EV1_ma,,
13426689621,4063782840,O_271,D_7,10398.0,0,special,EV1_ma,,
13426689642,4063782840,O_337,D_7,9574.0,0,special,EV1_ma,,
13426689646,4063782840,"O_372,O_407,O_444,O_483",D_7,8812.0,0,special,EV1_ma,,
