u,v,link_id,ID,highway,avgspeed,lanes,length_x,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,EV1_mi,EV1_fr,alt_length,alt_nodes,diff_length,connected,length_y,hazard
38,44,None,None,residential,60.0,nan,173.0,nan,nan,38,44,38_44,74,139,0.003,0.0,0.0,,nan,,nan,,EV1_mi
38,428,None,None,residential,60.0,nan,109.0,nan,nan,38,428,38_428,75,1349,0.002,0.0,0.0,,nan,,nan,,EV1_mi
38,433,None,None,residential,60.0,nan,191.0,nan,nan,38,433,38_433,76,1367,0.003,0.0,0.0,,nan,,nan,,EV1_mi
39,40,None,None,residential,60.0,nan,11.0,nan,nan,39,40,39_40,77,128,0.0,0.0,0.0,,nan,,nan,,EV1_mi
39,41,None,None,residential,60.0,nan,327.0,nan,nan,39,41,39_41,78,130,0.005,0.0,0.0,,nan,,nan,,EV1_mi
40,45,None,None,residential,60.0,nan,226.0,nan,nan,40,45,40_45,79,142,0.004,0.0,0.0,,nan,,nan,,EV1_mi
41,46,None,None,residential,60.0,nan,178.0,nan,nan,41,46,41_46,80,145,0.003,0.0,0.0,,nan,,nan,,EV1_mi
41,60,None,None,residential,60.0,nan,162.0,nan,nan,41,60,41_60,81,192,0.003,0.0,0.0,,nan,,nan,,EV1_mi
42,43,None,None,residential,60.0,nan,136.0,nan,nan,42,43,42_43,82,136,0.002,0.0,0.0,,nan,,nan,,EV1_mi
42,44,None,None,tertiary,60.0,nan,27.0,60,nan,42,44,42_44,83,140,0.0,0.0,0.0,,nan,,nan,,EV1_mi
42,45,None,None,tertiary,60.0,nan,16.0,60,nan,42,45,42_45,84,143,0.0,0.0,0.0,,nan,,nan,,EV1_mi
43,636,None,None,residential,60.0,nan,182.0,nan,nan,43,636,43_636,85,1986,0.003,0.0,0.0,,nan,,nan,,EV1_mi
43,429,None,None,residential,60.0,nan,153.0,nan,nan,43,429,43_429,86,1353,0.003,0.0,0.0,,nan,,nan,,EV1_mi
44,428,None,None,tertiary,60.0,nan,122.0,60,nan,44,428,44_428,87,1350,0.002,0.0,0.0,,nan,,nan,,EV1_mi
45,642,None,None,tertiary,60.0,nan,174.0,60,nan,45,642,45_642,88,2003,0.003,0.0,0.0,,nan,,nan,,EV1_mi
46,47,None,None,residential,60.0,nan,121.0,nan,nan,46,47,46_47,89,148,0.002,0.0,0.0,,nan,,nan,,EV1_mi
46,48,None,None,residential,60.0,nan,147.0,nan,nan,46,48,46_48,90,152,0.002,0.0,0.0,,nan,,nan,,EV1_mi
47,59,None,None,residential,60.0,nan,134.0,nan,nan,47,59,47_59,91,189,0.002,0.0,0.0,,nan,,nan,,EV1_mi
47,60,None,None,tertiary,60.0,nan,175.0,60,nan,47,60,47_60,92,193,0.003,0.0,0.0,,nan,,nan,,EV1_mi
47,49,None,None,tertiary,60.0,nan,146.0,60,nan,47,49,47_49,93,155,0.002,0.0,0.0,,nan,,nan,,EV1_mi
48,49,None,None,residential,60.0,nan,85.0,nan,nan,48,49,48_49,94,156,0.001,0.0,0.0,,nan,,nan,,EV1_mi
48,50,None,None,residential,60.0,nan,29.0,nan,nan,48,50,48_50,95,159,0.0,0.0,0.0,,nan,,nan,,EV1_mi
49,51,None,None,tertiary,60.0,nan,25.0,60,nan,49,51,49_51,96,162,0.0,0.0,0.0,,nan,,nan,,EV1_mi
49,56,None,None,residential,60.0,nan,135.0,nan,nan,49,56,49_56,97,179,0.002,0.0,0.0,,nan,,nan,,EV1_mi
50,51,None,None,residential,60.0,nan,79.0,nan,nan,50,51,50_51,98,163,0.001,0.0,0.0,,nan,,nan,,EV1_mi
50,52,None,None,residential,60.0,nan,176.0,nan,nan,50,52,50_52,99,166,0.003,0.0,0.0,,nan,,nan,,EV1_mi
51,633,None,None,residential,60.0,nan,134.0,nan,nan,51,633,51_633,100,1978,0.002,0.0,0.0,,nan,,nan,,EV1_mi
51,58,None,None,tertiary,60.0,nan,85.0,60,nan,51,58,51_58,101,186,0.001,0.0,0.0,,nan,,nan,,EV1_mi
52,53,None,None,residential,60.0,nan,41.0,nan,nan,52,53,52_53,102,169,0.001,0.0,0.0,,nan,,nan,,EV1_mi
52,54,None,None,residential,60.0,nan,87.0,nan,nan,52,54,52_54,103,173,0.001,0.0,0.0,,nan,,nan,,EV1_mi
53,57,None,None,residential,60.0,nan,134.0,nan,nan,53,57,53_57,104,182,0.002,0.0,0.0,,nan,,nan,,EV1_mi
53,58,None,None,tertiary,60.0,nan,88.0,60,nan,53,58,53_58,105,187,0.001,0.0,0.0,,nan,,nan,,EV1_mi
53,54,None,None,tertiary,60.0,nan,72.0,60,nan,53,54,53_54,106,174,0.001,0.0,0.0,,nan,,nan,,EV1_mi
54,55,None,None,tertiary,60.0,nan,177.0,60,nan,54,55,54_55,107,176,0.003,0.0,0.0,,nan,,nan,,EV1_mi
55,626,None,None,residential,60.0,nan,115.0,nan,nan,55,626,55_626,108,1959,0.002,0.0,0.0,,nan,,nan,,EV1_mi
55,631,None,None,tertiary,60.0,nan,244.0,60,nan,55,631,55_631,109,1972,0.004,0.0,0.0,,nan,,nan,,EV1_mi
56,59,None,None,residential,60.0,nan,143.0,nan,nan,56,59,56_59,110,190,0.002,0.0,0.0,,nan,,nan,,EV1_mi
56,633,None,None,residential,60.0,nan,30.0,nan,nan,56,633,56_633,111,1979,0.001,0.0,0.0,,nan,,nan,,EV1_mi
57,626,None,None,residential,60.0,nan,165.0,nan,nan,57,626,57_626,112,1960,0.003,0.0,0.0,,nan,,nan,,EV1_mi
57,627,None,None,residential,60.0,nan,84.0,nan,nan,57,627,57_627,113,1962,0.001,0.0,0.0,,nan,,nan,,EV1_mi
57,632,None,None,residential,60.0,nan,86.0,nan,nan,57,632,57_632,114,1975,0.001,0.0,0.0,,nan,,nan,,EV1_mi
58,632,None,None,residential,60.0,nan,134.0,nan,nan,58,632,58_632,115,1976,0.002,0.0,0.0,,nan,,nan,,EV1_mi
59,634,None,None,residential,60.0,nan,176.0,nan,nan,59,634,59_634,116,1981,0.003,0.0,0.0,,nan,,nan,,EV1_mi
60,642,None,None,tertiary,60.0,nan,142.0,60,nan,60,642,60_642,117,2004,0.002,0.0,0.0,,nan,,nan,,EV1_mi
60,634,None,None,residential,60.0,nan,134.0,nan,nan,60,634,60_634,118,1982,0.002,0.0,0.0,,nan,,nan,,EV1_mi
61,62,None,None,tertiary,58.0,nan,199.0,nan,nan,61,62,61_62,119,199,0.003,0.0,0.0,,nan,,nan,,EV1_mi
61,63,None,None,residential,60.0,nan,85.0,nan,nan,61,63,61_63,120,202,0.001,0.0,0.0,,nan,,nan,,EV1_mi
61,64,None,None,tertiary,58.0,nan,72.0,nan,nan,61,64,61_64,121,206,0.001,0.0,0.0,,nan,,nan,,EV1_mi
62,256,None,None,residential,60.0,nan,94.0,nan,nan,62,256,62_256,122,827,0.002,0.0,0.0,,nan,,nan,,EV1_mi
62,1167,None,None,tertiary,58.0,nan,141.0,nan,nan,62,1167,62_1167,123,3460,0.002,0.0,0.0,,nan,,nan,,EV1_mi
63,180,None,None,residential,60.0,nan,17.0,nan,nan,63,180,63_180,124,582,0.0,0.0,0.0,,nan,,nan,,EV1_mi
63,178,None,None,residential,60.0,nan,56.0,nan,nan,63,178,63_178,125,576,0.001,0.0,0.0,,nan,,nan,,EV1_mi
63,181,None,None,residential,60.0,nan,11.0,nan,nan,63,181,63_181,126,586,0.0,0.0,0.0,,nan,,nan,,EV1_mi
64,590,None,None,tertiary,58.0,nan,31.0,nan,nan,64,590,64_590,127,1851,0.001,0.0,0.0,,nan,,nan,,EV1_mi
64,177,None,None,tertiary,58.0,nan,8.0,nan,nan,64,177,64_177,128,573,0.0,0.0,0.0,,nan,,nan,,EV1_mi
65,66,None,None,tertiary,58.0,nan,47.0,nan,nan,65,66,65_66,129,210,0.001,0.0,0.0,,nan,,nan,,EV1_mi
66,347,None,None,tertiary,58.0,nan,26.0,nan,nan,66,347,66_347,130,1107,0.0,0.0,0.0,,nan,,nan,,EV1_mi
66,348,None,None,residential,60.0,nan,174.0,nan,nan,66,348,66_348,131,1110,0.003,0.0,0.0,,nan,,nan,,EV1_mi
67,68,None,None,tertiary,58.0,nan,75.0,nan,nan,67,68,67_68,132,216,0.001,0.0,0.0,,nan,,nan,,EV1_mi
67,347,None,None,tertiary_link,58.0,nan,21.0,nan,nan,67,347,67_347,133,1108,0.0,0.0,0.0,,nan,,nan,,EV1_mi
67,1302,None,None,tertiary,58.0,nan,16.0,nan,nan,67,1302,67_1302,134,3793,0.0,0.0,0.0,,nan,,nan,,EV1_mi
69,70,None,None,tertiary,58.0,nan,108.0,nan,nan,69,70,69_70,135,220,0.002,0.0,0.0,,nan,,nan,,EV1_mi
69,665,None,None,tertiary_link,58.0,nan,21.0,nan,nan,69,665,69_665,136,2073,0.0,0.0,0.0,,nan,,nan,,EV1_mi
69,1190,None,None,tertiary,58.0,nan,194.0,nan,nan,69,1190,69_1190,137,3515,0.003,0.0,0.0,,nan,,nan,,EV1_mi
71,72,None,None,tertiary,58.0,nan,39.0,nan,nan,71,72,71_72,138,224,0.001,0.0,0.0,,nan,,nan,,EV1_mi
71,73,None,None,tertiary,58.0,nan,29.0,nan,nan,71,73,71_73,139,227,0.001,0.0,0.0,,nan,,nan,,EV1_mi
72,873,None,None,tertiary,58.0,nan,35.0,nan,nan,72,873,72_873,140,2682,0.001,0.0,0.0,,nan,,nan,,EV1_mi
72,120,None,None,residential,60.0,nan,76.0,nan,nan,72,120,72_120,141,384,0.001,0.0,0.0,,nan,,nan,,EV1_mi
73,551,None,None,residential,60.0,nan,20.0,nan,nan,73,551,73_551,142,1745,0.0,0.0,0.0,,nan,,nan,,EV1_mi
73,486,None,None,tertiary,58.0,nan,34.0,nan,nan,73,486,73_486,143,1533,0.001,0.0,0.0,,nan,,nan,,EV1_mi
74,75,None,None,residential,60.0,nan,74.0,nan,nan,74,75,74_75,144,233,0.001,0.0,0.0,,nan,,nan,,EV1_mi
74,76,None,None,residential,60.0,nan,208.0,nan,nan,74,76,74_76,145,236,0.003,0.0,0.0,,nan,,nan,,EV1_mi
74,77,None,None,residential,60.0,nan,264.0,nan,nan,74,77,74_77,146,239,0.004,0.13085556030273438,0.017198572574300453,,nan,,nan,,EV1_mi
75,87,None,None,residential,60.0,nan,77.0,nan,nan,75,87,75_87,147,270,0.001,0.0,0.0,,nan,,nan,,EV1_mi
75,77,None,None,residential,60.0,nan,109.0,nan,nan,75,77,75_77,148,240,0.002,0.0,0.0,,nan,,nan,,EV1_mi
76,85,None,None,residential,60.0,nan,77.0,nan,nan,76,85,76_85,149,264,0.001,0.0,0.0,,nan,,nan,,EV1_mi
76,516,None,None,residential,60.0,nan,45.0,nan,nan,76,516,76_516,150,1631,0.001,0.0,0.0,,nan,,nan,,EV1_mi
77,88,None,None,residential,60.0,nan,87.0,nan,nan,77,88,77_88,151,274,0.001,0.0,0.0,,nan,,nan,,EV1_mi
78,79,None,None,residential,60.0,nan,62.0,nan,nan,78,79,78_79,152,245,0.001,0.0,0.0,,nan,,nan,,EV1_mi
78,80,None,None,residential,60.0,nan,162.0,nan,nan,78,80,78_80,153,249,0.003,0.0,0.0,,nan,,nan,,EV1_mi
78,81,None,None,residential,60.0,nan,116.0,nan,nan,78,81,78_81,154,252,0.002,0.0,0.0,,nan,,nan,,EV1_mi
79,135,None,None,residential,60.0,nan,126.0,nan,nan,79,135,79_135,155,432,0.002,0.0,0.0,,nan,,nan,,EV1_mi
79,268,None,None,residential,60.0,nan,117.0,nan,nan,79,268,79_268,156,857,0.002,0.0,0.0,,nan,,nan,,EV1_mi
79,269,None,None,residential,60.0,nan,66.0,nan,nan,79,269,79_269,157,861,0.001,0.0,0.0,,nan,,nan,,EV1_mi
80,82,None,None,residential,60.0,nan,118.0,nan,nan,80,82,80_82,158,255,0.002,0.0,0.0,,nan,,nan,,EV1_mi
80,135,None,None,residential,60.0,nan,75.0,nan,nan,80,135,80_135,159,433,0.001,0.0,0.0,,nan,,nan,,EV1_mi
81,121,None,None,residential,60.0,nan,114.0,nan,nan,81,121,81_121,160,387,0.002,0.0,0.0,,nan,,nan,,EV1_mi
81,268,None,None,residential,60.0,nan,72.0,nan,nan,81,268,81_268,161,858,0.001,0.0,0.0,,nan,,nan,,EV1_mi
82,83,None,None,residential,60.0,nan,22.0,nan,nan,82,83,82_83,162,258,0.0,0.0,0.0,,nan,,nan,,EV1_mi
82,84,None,None,residential,60.0,nan,140.0,nan,nan,82,84,82_84,163,261,0.002,0.0,0.0,,nan,,nan,,EV1_mi
83,137,None,None,residential,60.0,nan,114.0,nan,nan,83,137,83_137,164,439,0.002,0.09922599792480469,0.021246712116453046,,nan,,nan,,EV1_mi
83,138,None,None,residential,60.0,nan,116.0,nan,nan,83,138,83_138,165,443,0.002,0.05681252479553223,0.11129832456389088,,nan,,nan,,EV1_mi
84,85,None,None,residential,60.0,nan,158.0,nan,nan,84,85,84_85,166,265,0.003,0.0,0.0,,nan,,nan,,EV1_mi
84,517,None,None,residential,60.0,nan,20.0,nan,nan,84,517,84_517,167,1634,0.0,0.0,0.0,,nan,,nan,,EV1_mi
85,86,None,None,residential,60.0,nan,31.0,nan,nan,85,86,85_86,168,267,0.001,0.0,0.0,,nan,,nan,,EV1_mi
86,516,None,None,residential,60.0,nan,79.0,nan,nan,86,516,86_516,169,1632,0.001,0.0,0.0,,nan,,nan,,EV1_mi
86,515,None,None,residential,60.0,nan,94.0,nan,nan,86,515,86_515,170,1627,0.002,0.0,0.0,,nan,,nan,,EV1_mi
87,88,None,None,residential,60.0,nan,48.0,nan,nan,87,88,87_88,171,275,0.001,0.0,0.0,,nan,,nan,,EV1_mi
87,89,None,None,residential,60.0,nan,80.0,nan,nan,87,89,87_89,172,277,0.001,0.0,0.0,,nan,,nan,,EV1_mi
87,90,None,None,residential,60.0,nan,230.0,nan,nan,87,90,87_90,173,281,0.004,0.0,0.0,,nan,,nan,,EV1_mi
88,91,None,None,residential,60.0,nan,82.0,nan,nan,88,91,88_91,174,285,0.001,0.0,0.0,,nan,,nan,,EV1_mi
89,270,None,None,residential,60.0,nan,27.0,nan,nan,89,270,89_270,175,864,0.0,0.0,0.0,,nan,,nan,,EV1_mi
89,266,None,None,residential,60.0,nan,32.0,nan,nan,89,266,89_266,176,853,0.001,0.0,0.0,,nan,,nan,,EV1_mi
89,271,None,None,residential,60.0,nan,32.0,nan,nan,89,271,89_271,177,867,0.001,0.0,0.0,,nan,,nan,,EV1_mi
90,511,None,None,residential,60.0,nan,81.0,nan,nan,90,511,90_511,178,1613,0.001,0.08923196792602539,0.16523004530785562,,nan,,nan,,EV1_mi
90,515,None,None,residential,60.0,nan,144.0,nan,nan,90,515,90_515,179,1628,0.002,0.0,0.0,,nan,,nan,,EV1_mi
90,516,None,None,residential,60.0,nan,121.0,nan,nan,90,516,90_516,180,1633,0.002,0.0,0.0,,nan,,nan,,EV1_mi
91,265,None,None,residential,60.0,nan,35.0,nan,nan,91,265,91_265,181,850,0.001,0.0,0.0,,nan,,nan,,EV1_mi
91,266,None,None,residential,60.0,nan,15.0,nan,nan,91,266,91_266,182,854,0.0,0.0,0.0,,nan,,nan,,EV1_mi
91,267,None,None,residential,60.0,nan,187.0,nan,nan,91,267,91_267,183,856,0.003,0.09710383415222168,0.7036751470114311,,nan,,nan,,EV1_mi
92,93,None,None,tertiary,58.0,2,57.0,nan,nan,92,93,92_93,184,292,0.001,0.0,0.0,,nan,,nan,,EV1_mi
92,94,None,None,tertiary,58.0,nan,61.0,nan,nan,92,94,92_94,185,296,0.001,0.0,0.0,,nan,,nan,,EV1_mi
92,95,None,None,tertiary,58.0,nan,62.0,nan,nan,92,95,92_95,186,300,0.001,0.0,0.0,,nan,,nan,,EV1_mi
93,145,None,None,residential,60.0,nan,117.0,nan,nan,93,145,93_145,187,470,0.002,0.0,0.0,,nan,,nan,,EV1_mi
93,139,None,None,tertiary,58.0,2,109.0,nan,nan,93,139,93_139,188,447,0.002,0.0,0.0,,nan,,nan,,EV1_mi
93,520,None,None,residential,60.0,nan,115.0,nan,nan,93,520,93_520,189,1643,0.002,0.0,0.0,,nan,,nan,,EV1_mi
94,247,None,None,tertiary,58.0,nan,29.0,nan,nan,94,247,94_247,190,799,0.001,0.0,0.0,,nan,,nan,,EV1_mi
94,249,None,None,residential,60.0,nan,33.0,nan,nan,94,249,94_249,191,805,0.001,0.0,0.0,,nan,,nan,,EV1_mi
94,95,None,None,tertiary,58.0,nan,37.0,nan,nan,94,95,94_95,192,301,0.001,0.0,0.0,,nan,,nan,,EV1_mi
