o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
11590763573,11590763625,A_226,"B_5,B_6",5368.0,1478.08180046,hospital,EV1_ma,5368.0,0.0
11590763574,11590763625,A_228,"B_5,B_6",4995.0,2325.24543381,hospital,EV1_ma,4995.0,0.0
11590763576,11590763624,A_231,B_4,4597.0,1746.39505005,hospital,EV1_ma,4580.0,17.0
11590763577,11590763624,A_232,B_4,3878.0,1316.22281265,hospital,EV1_ma,3861.0,17.0
11590763579,11590763625,A_247,"B_5,B_6",5132.0,1922.93091011,hospital,EV1_ma,5132.0,0.0
11590763580,11590763625,A_250,"B_5,B_6",4741.0,1439.87953758,hospital,EV1_ma,4278.0,463.0
11590763581,11590763624,A_251,B_4,4084.0,1558.94218254,hospital,EV1_ma,4067.0,17.0
11590763582,11590763624,A_253,B_4,3353.0,1711.49200726,hospital,EV1_ma,3336.0,17.0
11590763585,11590763624,A_257,B_4,3660.0,1040.31194687,hospital,EV1_ma,3175.0,485.0
11590763586,11590763625,A_267,"B_5,B_6",4899.0,1072.58284569,hospital,EV1_ma,4899.0,0.0
11590763587,11590763625,A_268,"B_5,B_6",4580.0,1536.36138153,hospital,EV1_ma,4580.0,0.0
11590763588,11590763625,A_269,"B_5,B_6",4477.0,1013.78449821,hospital,EV1_ma,4477.0,0.0
11590763589,11590763624,A_273,B_4,4120.0,2461.33372116,hospital,EV1_ma,,
11590763590,11590763624,A_276,B_4,2693.0,1715.69475746,hospital,EV1_ma,2676.0,17.0
11590763592,11590763624,A_281,B_4,3206.0,1396.63955688,hospital,EV1_ma,3188.0,18.0
11590763593,11590763625,A_287,"B_5,B_6",4846.0,1474.05879116,hospital,EV1_ma,4846.0,0.0
11590763594,11590763625,A_288,"B_5,B_6",4227.0,1531.52594566,hospital,EV1_ma,4227.0,0.0
11590763595,11590763625,A_292,"B_5,B_6",3165.0,2294.25948334,hospital,EV1_ma,3165.0,0.0
11590763597,11590763624,A_295,B_4,4639.0,2003.88581848,hospital,EV1_ma,3144.0,1495.0
11590763598,11590763624,A_300,B_4,2559.0,1537.49044418,hospital,EV1_ma,2528.0,31.0
11590763599,11590763624,A_301,B_4,3442.0,1464.71004105,hospital,EV1_ma,3132.0,310.0
11590763600,11590763624,A_303,B_4,3139.0,1239.84428596,hospital,EV1_ma,3139.0,0.0
11590763601,11590763625,A_306,"B_5,B_6",4058.0,199.80621338,hospital,EV1_ma,4058.0,0.0
11590763602,11590763625,A_308,"B_5,B_6",3202.0,1638.06154919,hospital,EV1_ma,3202.0,0.0
11590763603,11590763625,A_310,"B_5,B_6",2633.0,1693.35393715,hospital,EV1_ma,2633.0,0.0
11590763604,11590763625,A_311,"B_5,B_6",2451.0,2374.67459869,hospital,EV1_ma,2451.0,0.0
11590763605,11590763625,A_312,"B_5,B_6",2029.0,2291.48970795,hospital,EV1_ma,2029.0,0.0
11590763609,11590763624,A_316,B_4,1181.0,1888.91226196,hospital,EV1_ma,1164.0,17.0
11590763610,11590763624,A_318,B_4,1712.0,1846.9139595,hospital,EV1_ma,1712.0,0.0
11590763611,11590763624,A_319,B_4,2124.0,1729.61700249,hospital,EV1_ma,2124.0,0.0
11590763612,11590763624,A_321,B_4,2833.0,828.86365795,hospital,EV1_ma,2833.0,0.0
11590763613,11590763625,A_324,"B_5,B_6",3445.0,949.35508919,hospital,EV1_ma,3445.0,0.0
11590763614,11590763625,A_327,"B_5,B_6",2280.0,757.88712883,hospital,EV1_ma,2280.0,0.0
11590763616,11590763624,A_334,B_4,927.0,1942.03381729,hospital,EV1_ma,927.0,0.0
11590763617,11590763625,A_337,"B_5,B_6",2384.0,542.7651577,hospital,EV1_ma,2384.0,0.0
11590763618,11590763625,A_343,"B_5,B_6",67.0,782.92469025,hospital,EV1_ma,67.0,0.0
11590763619,11590763625,A_344,"B_5,B_6",546.0,1259.18093109,hospital,EV1_ma,546.0,0.0
11590763620,11590763625,A_345,"B_5,B_6",989.0,953.19294739,hospital,EV1_ma,989.0,0.0
11590763621,11590763625,A_346,"B_5,B_6",1431.0,428.39468002,hospital,EV1_ma,1431.0,0.0
